"parameter","Penh"
NA,0.36
NA,0.33
NA,0.33
NA,0.33
NA,0.34
NA,0.31
"hdv3 baseline",NA
NA,NA
NA,NA
"hdv4 baseline",NA
NA,0.57
NA,0.46
NA,0.52
NA,0.48
NA,0.53
NA,0.37
NA,0.47
NA,0.48
NA,0.4
NA,0.53
NA,0.39
NA,0.46
NA,0.56
NA,0.39
NA,0.41
NA,0.42
NA,0.39
NA,0.43
NA,0.46
NA,0.4
NA,0.4
NA,0.44
NA,0.45
NA,0.3
"hdv4 baseline",NA
NA,NA
NA,0.46
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0
NA,0.61
NA,NA
"a1  6.25",NA
NA,0.49
NA,0.84
NA,0.53
NA,0.37
NA,0.58
NA,0.63
NA,0.49
NA,0.3
NA,0.46
NA,0.42
NA,0.68
NA,0.64
NA,0.51
NA,0.6
NA,0.62
NA,0.62
NA,0.54
NA,1.46
NA,0.22
NA,0.59
NA,0.22
NA,0.43
NA,0.61
NA,0.71
NA,0.22
NA,0.24
NA,0.21
NA,0.35
NA,0.39
NA,0.62
"a1  6.25",NA
NA,NA
NA,1.12
NA,NA
"a2 6.25",NA
NA,0.41
NA,0.36
NA,0.45
NA,0.37
NA,0.33
NA,0.43
NA,0.33
NA,0.31
NA,0.38
NA,0.49
NA,0.37
NA,0.34
NA,0.3
NA,0.39
NA,0.35
NA,0.46
NA,0.44
NA,0.44
NA,0.51
NA,0.55
NA,0.6
NA,0.57
NA,0.48
NA,0.36
NA,0.37
NA,0.39
NA,0.4
NA,0.32
NA,0.32
NA,0.31
"a2 6.25",NA
NA,NA
NA,NA
"a3 6.25",NA
NA,0.97
NA,0.89
NA,0.6
NA,0.7
NA,0.84
NA,0.94
NA,0.75
NA,0.6
NA,0.68
NA,0.46
NA,0.72
NA,1.07
NA,0.46
NA,0.47
NA,0.49
NA,0.45
NA,0.42
NA,0.52
NA,0.64
NA,0.37
NA,0.44
NA,0.6
NA,0.38
NA,0.42
NA,0.64
NA,0.52
NA,0.58
NA,0.96
NA,0.59
NA,0.5
"a3 6.25",NA
NA,NA
NA,NA
"a4 6.25",NA
NA,0.58
NA,0.52
NA,0.49
NA,0.54
NA,0.53
NA,0.57
NA,0.42
NA,0.57
NA,0.51
NA,0.43
NA,0.42
NA,0.67
NA,0.61
NA,0.54
NA,0.43
NA,0.48
NA,0.39
NA,0.43
NA,0.5
NA,0.47
NA,0.46
NA,0.52
NA,0.45
NA,0.47
NA,0.42
NA,0.46
NA,0.53
NA,0.34
NA,0.4
NA,0.64
NA,0.45
"a4 6.25",NA
NA,NA
NA,0.7
NA,NA
"d1 6.25",NA
NA,0.47
NA,0.44
NA,0.59
NA,0.49
NA,0.29
NA,0.72
NA,0.6
NA,0.62
NA,0.41
NA,0.48
NA,0.52
NA,0.49
NA,0.56
NA,0.6
NA,0.59
NA,0.46
NA,0.73
NA,0.93
NA,0.62
NA,0.8
NA,0.53
NA,0.52
NA,0.76
NA,0.67
NA,0.48
NA,0.49
NA,0.57
NA,0.53
NA,0.52
NA,0.43
NA,0.78
"d1 6.25",NA
NA,NA
NA,0.46
NA,0.63
NA,NA
"d2  6.25",NA
NA,0.53
NA,0.35
NA,0.54
NA,0.79
NA,0.84
NA,0.65
NA,0.48
NA,0.5
NA,0.5
NA,0.53
NA,0.52
NA,0.69
NA,0.76
NA,0.49
NA,0.37
NA,0.52
NA,0.61
NA,0.51
NA,0.61
NA,0.51
NA,0.6
NA,0.42
NA,0.44
NA,0.45
NA,0.84
NA,0.99
NA,0.53
NA,0.48
NA,0.49
NA,0.46
"d2  6.25",NA
NA,NA
NA,0.41
NA,0
NA,NA
"d3  6.25",NA
NA,0.76
NA,0.71
NA,0.57
NA,0.86
NA,0.6
NA,0.61
NA,0.88
NA,0.91
NA,0.69
NA,0.81
NA,0.61
NA,0.75
NA,0.61
NA,0.65
NA,0.68
NA,0.75
NA,0.81
NA,0.73
NA,0.71
NA,0.57
NA,1.11
NA,0.76
NA,0.65
NA,0.37
NA,0.77
NA,0.69
NA,0.61
NA,0.5
NA,0.7
NA,0.64
"d3  6.25",NA
NA,NA
NA,0.57
NA,NA
"d4 6.25",NA
NA,0.65
NA,0.75
NA,0.67
NA,0.61
NA,0.7
NA,0.62
NA,0.74
NA,0.86
NA,0.66
NA,0.72
NA,0.8
NA,0.77
NA,1.26
NA,1.21
NA,0.9
NA,0.92
NA,0.69
NA,0.66
NA,0.61
NA,0.59
NA,0.63
NA,0.74
NA,0.49
NA,0.69
NA,0.68
NA,0.69
NA,0.62
NA,0.58
NA,0.6
NA,0.6
"d4 6.25",NA
NA,NA
NA,1.05
NA,NA
"d5 6.25",NA
NA,0.44
NA,0.42
NA,0.45
NA,0.47
NA,0.35
NA,0.66
NA,0.47
NA,0.48
NA,0.48
NA,0.45
NA,0.47
NA,0.33
NA,0.39
NA,0.41
NA,0.34
NA,0.42
NA,0.49
NA,0.59
NA,0.55
NA,0.61
NA,0.47
NA,0.4
NA,0.56
NA,0.7
NA,0.37
NA,0.4
NA,0.5
NA,0.48
NA,0.51
NA,0.61
NA,0.38
NA,0.41
NA,0.4
NA,0.58
"d5 6.25",NA
NA,NA
NA,NA
"v1 6.25",NA
NA,0.69
NA,0.41
NA,0.37
NA,0.63
NA,0.65
NA,0.57
NA,0.47
NA,0.47
NA,0.48
NA,0.54
NA,0.71
NA,0.63
NA,0.75
NA,0.7
NA,0.88
NA,1.02
NA,0.87
NA,1.11
NA,0.98
NA,0.96
NA,0.93
NA,0.84
NA,0.59
NA,0.44
NA,0.48
NA,0.58
NA,0.67
NA,0.68
NA,0.62
NA,0.64
"v1 6.25",NA
NA,NA
NA,0.71
NA,NA
"v2 6.25",NA
NA,0.6
NA,0.53
NA,0.49
NA,0.51
NA,0.54
NA,0.61
NA,0.53
NA,0.51
NA,0.57
NA,0.62
NA,0.52
NA,0.47
NA,0.45
NA,0.76
NA,0.5
NA,0.39
NA,0.71
NA,0.62
NA,0.57
NA,0.72
NA,0.85
NA,0.59
NA,0.6
NA,0.72
NA,0.55
NA,0.47
NA,0.56
NA,0.42
NA,0.35
NA,0.63
"v2 6.25",NA
NA,NA
NA,0.6
NA,0.56
NA,NA
"v3 6.25",NA
NA,0.57
NA,0.45
NA,0.54
NA,0.47
NA,0.5
NA,0.48
NA,0.62
NA,0.49
NA,0.4
NA,0.6
NA,0.43
NA,0.56
NA,0.52
NA,0.86
NA,0.54
NA,0.47
NA,0.51
NA,0.62
NA,0.61
NA,0.61
NA,0.53
NA,0.58
NA,0.53
NA,0.46
NA,0.46
NA,0.61
NA,0.48
NA,0.75
NA,0.85
NA,0.62
NA,0.53
"v3 6.25",NA
NA,NA
NA,0.74
NA,0.7
NA,NA
"hdv1 6.25",NA
NA,0.63
NA,0.63
NA,0.61
NA,0.64
NA,0.53
NA,0.76
NA,0.96
NA,0.8
NA,0.7
NA,0.91
NA,0.65
NA,0.47
NA,0.85
NA,1.12
NA,0.61
NA,0.59
NA,1.08
NA,0.89
NA,0.82
NA,0.68
NA,0.63
NA,0.54
NA,0.67
NA,0.46
NA,0.85
NA,1.2
NA,0.83
NA,0.59
NA,0.67
NA,0.41
"hdv1 6.25",NA
NA,NA
NA,0.65
NA,NA
"hdv2 6.25",NA
NA,0.51
NA,0.64
NA,0.49
NA,0.43
NA,0.41
NA,0.65
NA,0.56
NA,0.53
NA,0.42
NA,0.4
NA,0.82
NA,0.87
NA,1.11
NA,0.94
NA,0.68
NA,0.55
NA,0.58
NA,0.43
NA,0.45
NA,0.54
NA,0.43
NA,0.46
NA,0.5
NA,0.46
NA,0.29
NA,0.45
NA,0.62
NA,0.64
NA,0.49
NA,0.33
NA,0.4
NA,0.55
"hdv2 6.25",NA
NA,NA
NA,0.58
NA,NA
"hdv3 6.25",NA
NA,0.4
NA,0.41
NA,0.44
NA,0.46
NA,0.33
NA,0.34
NA,0.38
NA,0.3
NA,0.39
NA,0.28
NA,0.71
NA,0.86
NA,0.59
NA,0.4
NA,0.38
NA,0.39
NA,0.37
NA,0.32
NA,0.4
NA,0.39
NA,0.38
NA,0.42
NA,0.42
NA,0.4
NA,0.46
NA,0.42
NA,0.47
NA,0.42
NA,0.35
NA,0.31
"hdv3 6.25",NA
NA,NA
NA,NA
"hdv4 6.25",NA
NA,0.46
NA,0.54
NA,0.51
NA,0.49
NA,0.47
NA,0.6
NA,0.54
NA,0.51
NA,0.79
NA,0.75
NA,0.74
NA,0.8
NA,0.73
NA,0.56
NA,0.55
NA,0.55
NA,0.45
NA,0.44
NA,0.51
NA,0.47
NA,0.45
NA,0.37
NA,0.6
NA,0.55
NA,0.62
NA,0.53
NA,0.81
NA,1
NA,0.62
NA,0.59
NA,0.57
NA,0.48
NA,0.49
NA,0.49
"hdv4 6.25",NA
NA,NA
NA,0.63
NA,0.48
NA,NA
"a1 12.5",NA
NA,0.44
NA,0.46
NA,0.27
