"parameter","Penh"
"d5 50",NA
NA,NA
NA,1.23
NA,NA
"v1 50",NA
NA,2.58
NA,2.49
NA,1.87
NA,1.77
NA,1.71
NA,2.51
NA,2.47
NA,2.47
NA,2.41
NA,2.35
NA,2.05
NA,2.56
NA,2.71
NA,3.07
NA,2.77
NA,3.4
NA,2.92
NA,3.06
NA,2.29
NA,3.72
NA,4.12
NA,3.33
NA,3.78
NA,3.27
NA,3.32
NA,4.89
NA,3.9
NA,4.64
NA,5.28
NA,6.11
NA,6.99
"v1 50",NA
NA,NA
NA,1.94
NA,NA
"v2 50",NA
NA,1.25
NA,0.98
NA,0.76
NA,1.27
NA,0.94
NA,0.76
NA,0.92
NA,0.92
NA,1.04
NA,0.68
NA,1.04
NA,1.04
NA,1.08
NA,0.97
NA,0.88
NA,0.51
NA,0.67
NA,0.98
NA,0.9
NA,0.87
NA,1.01
NA,0.9
NA,0.69
NA,0.71
NA,0.54
NA,0.86
NA,0.79
NA,0.66
NA,0.88
NA,0.81
"v2 50",NA
NA,NA
NA,1.49
NA,NA
"v3 50",NA
NA,2.11
NA,2.24
NA,2.02
NA,2.2
NA,2.99
NA,3.42
NA,2.36
NA,2.42
NA,2.51
NA,2.63
NA,2.35
NA,2.13
NA,3.49
NA,3.7
NA,3.17
NA,2.23
NA,1.94
NA,2.28
NA,2.55
NA,3.49
NA,5.04
NA,5.96
NA,5.77
NA,6.26
NA,6.28
NA,6.7
NA,6.21
NA,5.27
NA,6.27
NA,5.96
NA,6.6
NA,7.36
NA,6.92
NA,6.38
NA,7.4
NA,2.95
NA,1.71
"v3 50",NA
NA,NA
NA,1.47
NA,NA
"hdv1 50",NA
NA,2.56
NA,2.48
NA,2.61
NA,2.4
NA,2.84
NA,2.7
NA,2.69
NA,1.92
NA,1.74
NA,1.57
NA,2.13
NA,1.77
NA,2.25
NA,2.28
NA,1.3
NA,1.81
NA,1.93
NA,1.74
NA,2.1
NA,1.67
NA,2.17
NA,1.67
NA,2.28
NA,1.96
NA,1.61
NA,1.62
NA,1.93
NA,2.27
NA,1.76
NA,1.49
NA,2.8
"hdv1 50",NA
NA,NA
NA,1.46
NA,NA
"hdv2 50",NA
NA,1.59
NA,1.71
NA,1.5
NA,1.39
NA,1.51
NA,1.92
NA,1.65
NA,1.4
NA,1.87
NA,1.82
NA,1.82
NA,2.62
NA,1.77
NA,1.18
NA,1.32
NA,1.66
NA,1.02
NA,1.4
NA,2.61
NA,1.61
NA,1.64
NA,1
NA,1.26
NA,0.92
NA,1.22
NA,1.19
NA,1.02
NA,0.78
NA,0.83
NA,1
NA,0.83
NA,0.67
"hdv2 50",NA
NA,NA
NA,0.58
NA,NA
"hdv3 50",NA
NA,1.66
NA,0.59
NA,0.61
NA,1.65
NA,0
NA,0.65
NA,0.43
NA,0.65
NA,0.59
NA,0.74
NA,0.88
NA,0.74
NA,1.23
NA,0.89
NA,0.91
NA,0.99
NA,0.96
NA,1.08
NA,0.87
NA,0.91
NA,1.53
NA,1.28
NA,0.99
NA,1.48
NA,1.44
NA,0.88
NA,0.99
NA,1.29
NA,1.23
NA,1.47
"hdv3 50",NA
NA,NA
NA,NA
"hdv4 50",NA
NA,2.3
NA,2.09
NA,3.09
NA,3.55
NA,3.06
NA,3.45
NA,3.48
NA,2.74
NA,4.37
NA,2.88
NA,2.5
NA,3.78
NA,3.87
NA,3.38
NA,5.29
NA,4.24
NA,6.34
NA,4.92
NA,3.52
NA,5.93
NA,4.59
NA,5.05
NA,5.24
NA,2.71
NA,3.59
NA,2.96
NA,2.38
NA,2.88
NA,3.18
NA,4.8
NA,5.15
NA,4.73
"hdv4 50",NA
NA,NA
NA,NA
NA,NA
"45008",NA
"0.18",NA
